20:35:41,37 ,166 ,168 ,457 ,5 ,18.86 ,43.22 ,1003.33 ,82.93
20:35:42,39 ,172 ,174 ,457 ,5 ,18.88 ,43.18 ,1003.39 ,82.45
20:35:43,40 ,178 ,178 ,457 ,5 ,18.87 ,43.19 ,1003.35 ,82.78
20:35:44,42 ,183 ,183 ,457 ,5 ,18.87 ,43.18 ,1003.34 ,82.85
20:35:46,42 ,187 ,187 ,457 ,5 ,18.87 ,43.19 ,1003.33 ,82.92
20:35:47,43 ,193 ,193 ,457 ,5 ,18.87 ,43.15 ,1003.35 ,82.75
20:35:48,45 ,198 ,198 ,457 ,5 ,18.86 ,43.11 ,1003.34 ,82.82
20:35:49,46 ,202 ,202 ,457 ,5 ,18.87 ,43.10 ,1003.36 ,82.65
20:35:50,48 ,210 ,210 ,457 ,5 ,18.87 ,43.13 ,1003.36 ,82.67
20:35:51,49 ,213 ,213 ,457 ,5 ,18.87 ,43.10 ,1003.34 ,82.87
20:35:53,49 ,216 ,216 ,457 ,5 ,18.87 ,43.08 ,1003.34 ,82.85
20:35:54,51 ,219 ,219 ,457 ,5 ,18.87 ,43.07 ,1003.32 ,82.97
20:35:55,51 ,220 ,220 ,457 ,5 ,18.87 ,43.06 ,1003.34 ,82.86
20:35:56,52 ,223 ,223 ,457 ,5 ,18.87 ,43.04 ,1003.31 ,83.11
20:35:57,52 ,225 ,225 ,457 ,5 ,18.86 ,43.04 ,1003.33 ,82.89
20:35:58,52 ,229 ,229 ,457 ,5 ,18.87 ,43.06 ,1003.33 ,82.90
20:36:00,52 ,232 ,232 ,456 ,5 ,18.87 ,43.06 ,1003.34 ,82.81
20:36:01,54 ,234 ,234 ,456 ,5 ,18.87 ,43.06 ,1003.34 ,82.82
20:36:02,54 ,235 ,235 ,456 ,5 ,18.87 ,43.07 ,1003.35 ,82.74
20:36:03,54 ,237 ,237 ,456 ,5 ,18.87 ,43.07 ,1003.33 ,82.90
20:36:04,54 ,238 ,238 ,456 ,5 ,18.87 ,43.02 ,1003.33 ,82.69
20:36:05,54 ,240 ,240 ,456 ,5 ,18.87 ,43.04 ,1003.37 ,82.60
20:36:07,54 ,241 ,241 ,456 ,5 ,18.87 ,43.03 ,1003.34 ,82.83
20:36:08,55 ,244 ,244 ,456 ,5 ,18.87 ,43.03 ,1003.34 ,82.87
20:36:09,55 ,246 ,246 ,456 ,5 ,18.87 ,43.06 ,1003.36 ,82.70
20:36:10,55 ,246 ,247 ,456 ,5 ,18.87 ,43.06 ,1003.33 ,82.90
20:36:11,55 ,247 ,247 ,456 ,5 ,18.88 ,43.07 ,1003.37 ,82.62
