[2026-02-13 01:59:46] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969586289","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"520","CO:":"5","Temperature:":"6.15","Humidity:":"53.06","Airpressure:":"1013.68","Altitude:":"-3.54"}
[2026-02-13 01:59:48] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969588083","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"520","CO:":"5","Temperature:":"6.12","Humidity:":"53.22","Airpressure:":"1013.67","Altitude:":"-3.47"}
[2026-02-13 01:59:50] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969590291","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"520","CO:":"5","Temperature:":"6.10","Humidity:":"53.38","Airpressure:":"1013.67","Altitude:":"-3.48"}
[2026-02-13 01:59:53] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969593010","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"84","CO2:":"520","CO:":"5","Temperature:":"6.07","Humidity:":"53.53","Airpressure:":"1013.63","Altitude:":"-3.18"}
[2026-02-13 01:59:54] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969594768","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"84","CO2:":"520","CO:":"5","Temperature:":"6.09","Humidity:":"53.66","Airpressure:":"1013.65","Altitude:":"-3.32"}
[2026-02-13 01:59:57] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969597097","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"84","CO2:":"520","CO:":"5","Temperature:":"6.06","Humidity:":"53.79","Airpressure:":"1013.64","Altitude:":"-3.28"}
[2026-02-13 01:59:59] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969599255","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"84","CO2:":"520","CO:":"5","Temperature:":"6.07","Humidity:":"53.91","Airpressure:":"1013.65","Altitude:":"-3.37"}
[2026-02-13 02:00:03] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969601422","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"84","CO2:":"520","CO:":"5","Temperature:":"6.03","Humidity:":"53.96","Airpressure:":"1013.66","Altitude:":"-3.42"}
[2026-02-13 02:00:03] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969603638","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"521","CO:":"5","Temperature:":"6.00","Humidity:":"53.97","Airpressure:":"1013.69","Altitude:":"-3.64"}
[2026-02-13 02:00:06] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969605973","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"521","CO:":"5","Temperature:":"5.95","Humidity:":"54.02","Airpressure:":"1013.67","Altitude:":"-3.51"}
