[2026-02-13 04:10:12] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977412326","Packet ID:":"1035","PM1.0:":"276","PM2.5:":"2091","PM10:":"2092","CO2:":"598","CO:":"5","Temperature:":"-1.65","Humidity:":"90.73","Airpressure:":"1013.71","Altitude:":"-3.79"}
[2026-02-13 04:10:14] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977414592","Packet ID:":"1036","PM1.0:":"276","PM2.5:":"2091","PM10:":"2092","CO2:":"598","CO:":"5","Temperature:":"-1.66","Humidity:":"90.73","Airpressure:":"1013.74","Altitude:":"-4.11"}
[2026-02-13 04:10:17] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977417518","Packet ID:":"1037","PM1.0:":"273","PM2.5:":"2223","PM10:":"2224","CO2:":"598","CO:":"5","Temperature:":"-1.66","Humidity:":"90.73","Airpressure:":"1013.73","Altitude:":"-3.96"}
[2026-02-13 04:10:19] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977418983","Packet ID:":"1038","PM1.0:":"267","PM2.5:":"2497","PM10:":"2497","CO2:":"598","CO:":"5","Temperature:":"-1.66","Humidity:":"90.74","Airpressure:":"1013.74","Altitude:":"-4.10"}
[2026-02-13 04:10:21] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977421198","Packet ID:":"1039","PM1.0:":"267","PM2.5:":"2514","PM10:":"2515","CO2:":"598","CO:":"5","Temperature:":"-1.67","Humidity:":"90.74","Airpressure:":"1013.73","Altitude:":"-4.04"}
[2026-02-13 04:10:23] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977423748","Packet ID:":"1040","PM1.0:":"267","PM2.5:":"2514","PM10:":"2515","CO2:":"598","CO:":"5","Temperature:":"-1.67","Humidity:":"90.74","Airpressure:":"1013.73","Altitude:":"-3.98"}
[2026-02-13 04:10:25] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977425658","Packet ID:":"1041","PM1.0:":"268","PM2.5:":"2490","PM10:":"2491","CO2:":"598","CO:":"5","Temperature:":"-1.66","Humidity:":"90.74","Airpressure:":"1013.75","Altitude:":"-4.13"}
[2026-02-13 04:10:27] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977427826","Packet ID:":"1042","PM1.0:":"270","PM2.5:":"2464","PM10:":"2466","CO2:":"598","CO:":"5","Temperature:":"-1.67","Humidity:":"90.74","Airpressure:":"1013.72","Altitude:":"-3.89"}
[2026-02-13 04:10:31] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977430951","Packet ID:":"1043","PM1.0:":"270","PM2.5:":"2464","PM10:":"2466","CO2:":"599","CO:":"5","Temperature:":"-1.67","Humidity:":"90.74","Airpressure:":"1013.75","Altitude:":"-4.20"}
[2026-02-13 04:10:32] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977432279","Packet ID:":"1044","PM1.0:":"274","PM2.5:":"2340","PM10:":"2340","CO2:":"599","CO:":"5","Temperature:":"-1.67","Humidity:":"90.75","Airpressure:":"1013.77","Altitude:":"-4.20"}
[2026-02-13 04:10:34] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977434468","Packet ID:":"1045","PM1.0:":"274","PM2.5:":"2301","PM10:":"2302","CO2:":"598","CO:":"5","Temperature:":"-1.68","Humidity:":"90.73","Airpressure:":"1013.75","Altitude:":"-4.19"}
[2026-02-13 04:10:37] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977437716","Packet ID:":"1046","PM1.0:":"274","PM2.5:":"2268","PM10:":"2268","CO2:":"599","CO:":"5","Temperature:":"-1.67","Humidity:":"90.74","Airpressure:":"1013.72","Altitude:":"-3.94"}
[2026-02-13 04:10:39] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977438933","Packet ID:":"1047","PM1.0:":"276","PM2.5:":"2245","PM10:":"2245","CO2:":"599","CO:":"5","Temperature:":"-1.67","Humidity:":"90.74","Airpressure:":"1013.75","Altitude:":"-4.16"}
[2026-02-13 04:10:41] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977441145","Packet ID:":"1048","PM1.0:":"274","PM2.5:":"2220","PM10:":"2220","CO2:":"599","CO:":"5","Temperature:":"-1.67","Humidity:":"90.75","Airpressure:":"1013.76","Altitude:":"-4.24"}
[2026-02-13 04:10:44] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770977443927","Packet ID:":"1049","PM1.0:":"274","PM2.5:":"2280","PM10:":"2280","CO2:":"599","CO:":"5","Temperature:":"-1.67","Humidity:":"90.75","Airpressure:":"1013.77","Altitude:":"-4.29"}
