06:12:43,*** ESP32 startup detected ***
06:12:43,*** Logging started ***
06:12:45,"250,642,642,378,0,20.00,39.98,1011.32,16.05"
06:12:47,"240,613,613,378,0,20.02,39.63,1011.36,15.72"
06:12:49,"216,567,567,378,0,20.02,39.48,1011.34,15.94"
06:12:51,"198,537,537,378,0,20.03,39.43,1011.38,15.62"
06:12:53,"181,562,562,378,0,20.04,39.41,1011.36,15.79"
06:12:56,"168,627,627,378,5,20.05,39.39,1011.40,15.67"
06:12:58,"159,715,715,378,5,20.04,39.35,1011.36,15.79"
06:13:00,"156,837,837,378,5,20.04,39.37,1011.35,15.86"
06:13:02,"153,1029,1029,378,5,20.04,39.38,1011.37,15.67"
06:13:05,"153,1122,1122,378,5,20.04,39.37,1011.36,15.79"
06:13:07,"153,1188,1188,378,5,20.04,39.35,1011.34,15.88"
06:13:09,"153,1243,1243,378,5,20.04,39.33,1011.35,15.86"
06:13:11,"151,1275,1275,378,5,20.04,39.34,1011.33,16.01"
06:13:13,"151,1290,1290,378,5,20.04,39.32,1011.36,15.72"
06:13:16,"153,1308,1308,379,5,20.05,39.31,1011.35,15.81"
06:13:18,"154,1317,1317,379,5,20.05,39.27,1011.36,15.78"
06:13:20,"162,1333,1333,379,5,20.05,39.27,1011.36,15.74"
06:13:22,"166,1339,1339,378,5,20.06,39.26,1011.33,15.97"
06:13:25,"174,1341,1341,378,5,20.06,39.24,1011.34,16.08"
06:13:27,"183,1347,1347,379,5,20.06,39.26,1011.35,15.83"
06:13:29,"186,1335,1335,379,5,20.05,39.26,1011.36,15.75"
06:13:31,"193,1326,1326,378,5,20.06,39.21,1011.35,15.80"
06:13:33,"201,1314,1314,378,5,20.06,39.18,1011.36,15.78"
06:13:36,"207,1299,1299,379,5,20.06,39.15,1011.34,15.95"
06:13:38,"213,1276,1276,379,5,20.06,39.15,1011.32,16.06"
06:13:40,"219,1254,1254,379,5,20.07,39.12,1011.33,16.01"
06:13:42,"225,1224,1224,379,5,20.06,39.08,1011.36,15.73"
06:13:44,"231,1192,1192,379,5,20.07,39.09,1011.35,15.81"
06:13:47,"237,1158,1158,379,5,20.07,39.11,1011.36,15.74"
06:13:49,"1126,1126,379,5,20.06,39.15,1011.33,15.98"
06:13:51,"244,1089,1089,379,5,20.07,39.18,1011.32,16.06"
06:13:53,"246,1065,1065,379,5,20.07,39.18,1011.34,15.91"
06:13:56,"249,1042,1042,380,5,20.07,39.15,1011.34,15.92"
06:13:58,"250,1020,1020,380,5,20.07,39.17,1011.32,16.06"
06:14:00,"252,999,999,380,5,20.06,39.16,1011.33,15.99"
06:14:02,"252,973,973,380,5,20.07,39.12,1011.33,16.03"
06:14:04,"252,948,948,380,5,20.07,39.10,1011.28,16.41"
06:14:07,"250,909,909,380,5,20.07,39.13,1011.32,16.07"
06:14:09,"249,882,882,380,5,20.07,39.12,1011.30,16.22"
06:14:11,"247,855,855,380,5,20.08,39.15,1011.34,15.87"
06:14:13,"246,829,829,380,5,20.08,39.16,1011.33,15.97"
06:14:15,"244,804,804,380,5,20.08,39.14,1011.31,16.16"
06:14:18,"243,780,780,380,5,20.08,39.12,1011.30,16.25"
06:14:20,"241,754,754,380,5,20.07,39.10,1011.28,16.39"
06:14:22,"240,718,718,380,5,20.08,39.10,1011.31,16.17"
06:14:24,"237,693,693,380,5,20.09,39.09,1011.35,15.86"
06:14:27,"235,666,666,380,5,20.09,39.07,1011.32,16.09"
06:14:29,"234,642,642,381,5,20.09,39.06,1011.32,16.11"
06:14:31,"234,619,619,381,5,20.09,39.07,1011.32,16.08"
06:14:33,"234,600,600,381,5,20.09,39.07,1011.31,16.13"
06:14:35,"234,580,580,381,5,20.09,39.06,1011.31,16.20"
06:14:38,"234,564,564,381,5,20.08,39.07,1011.31,16.19"
06:14:40,"234,541,541,381,5,20.10,39.09,1011.32,16.05"
06:14:42,"235,528,528,381,5,20.10,39.11,1011.31,16.17"
06:14:44,"235,513,513,381,5,20.10,39.11,1011.29,16.34"
06:14:46,"237,501,501,381,5,20.09,39.10,1011.30,16.27"
06:14:49,"237,490,490,381,5,20.09,39.09,1011.32,16.13"
06:14:51,"238,481,481,381,5,20.09,39.02,1011.33,16.01"
06:14:53,"240,475,475,381,5,20.09,39.00,1011.35,15.86"
06:14:55,"241,468,468,381,5,20.09,38.99,1011.32,16.05"
06:14:58,"244,465,465,381,5,20.10,38.98,1011.34,15.92"
