[2026-02-12 18:34:37] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942877678","Packet ID:":"0","PM1.0:":"52","PM2.5:":"687","PM10:":"688","CO2:":"433","CO:":"5","Temperature:":"10.86","Humidity:":"43.93","Airpressure:":"1013.18","Altitude:":"0.61"}
[2026-02-12 18:34:39] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942879471","Packet ID:":"0","PM1.0:":"52","PM2.5:":"666","PM10:":"666","CO2:":"433","CO:":"5","Temperature:":"10.83","Humidity:":"43.79","Airpressure:":"1013.17","Altitude:":"0.67"}
[2026-02-12 18:34:41] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942881690","Packet ID:":"0","PM1.0:":"52","PM2.5:":"666","PM10:":"666","CO2:":"433","CO:":"5","Temperature:":"10.81","Humidity:":"43.76","Airpressure:":"1013.16","Altitude:":"0.75"}
[2026-02-12 18:34:44] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942883924","Packet ID:":"0","PM1.0:":"51","PM2.5:":"579","PM10:":"579","CO2:":"434","CO:":"5","Temperature:":"10.80","Humidity:":"43.74","Airpressure:":"1013.17","Altitude:":"0.66"}
[2026-02-12 18:34:46] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942886118","Packet ID:":"0","PM1.0:":"51","PM2.5:":"558","PM10:":"558","CO2:":"434","CO:":"5","Temperature:":"10.79","Humidity:":"43.76","Airpressure:":"1013.16","Altitude:":"0.78"}
[2026-02-12 18:34:48] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942888342","Packet ID:":"0","PM1.0:":"51","PM2.5:":"540","PM10:":"541","CO2:":"435","CO:":"5","Temperature:":"10.77","Humidity:":"44.08","Airpressure:":"1013.18","Altitude:":"0.58"}
[2026-02-12 18:34:50] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942890651","Packet ID:":"0","PM1.0:":"51","PM2.5:":"540","PM10:":"541","CO2:":"435","CO:":"5","Temperature:":"10.75","Humidity:":"45.05","Airpressure:":"1013.20","Altitude:":"0.43"}
[2026-02-12 18:34:52] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942892769","Packet ID:":"0","PM1.0:":"51","PM2.5:":"519","PM10:":"519","CO2:":"435","CO:":"5","Temperature:":"10.73","Humidity:":"44.95","Airpressure:":"1013.18","Altitude:":"0.55"}
[2026-02-12 18:34:55] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942895016","Packet ID:":"0","PM1.0:":"51","PM2.5:":"546","PM10:":"547","CO2:":"436","CO:":"5","Temperature:":"10.73","Humidity:":"44.69","Airpressure:":"1013.17","Altitude:":"0.67"}
[2026-02-12 18:34:57] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942897370","Packet ID:":"0","PM1.0:":"51","PM2.5:":"546","PM10:":"547","CO2:":"437","CO:":"5","Temperature:":"10.72","Humidity:":"44.56","Airpressure:":"1013.20","Altitude:":"0.44"}
